1 experiment
DFS:,1248,60341
BFS:,96,4909
BestFS:,180,4792
AStar:,96,4378

281 experiment
DFS:,682,34468
BFS:,70,3095
BestFS:,86,2356
AStar:,70,3779

282 experiment
DFS:,901,42864
BFS:,101,4828
BestFS:,199,5404
AStar:,101,5030

283 experiment
DFS:,1820,89595
BFS:,120,5909
BestFS:,154,4143
AStar:,120,5955

284 experiment
DFS:,2968,146925
BFS:,154,7145
BestFS:,226,6306
AStar:,154,7318

285 experiment
DFS:,1115,53880
BFS:,95,4602
BestFS:,185,4855
AStar:,95,4638

286 experiment
DFS:,831,40029
BFS:,111,5286
BestFS:,165,4823
AStar:,111,5363

287 experiment
DFS:,664,32110
BFS:,94,4835
BestFS:,146,4259
AStar:,94,4700

288 experiment
DFS:,966,48132
BFS:,86,4010
BestFS:,150,4328
AStar:,86,4954

